2022-11-03 08:38:54.009  INFO 22044 --- [restartedMain] .p.B.BookingManagementServiceApplication : Starting BookingManagementServiceApplication using Java 15.0.1 on DESKTOP-4DGDQVK with PID 22044 (D:\MicrosevicesApp\Project\BookingManagementService\target\classes started by Doomsday in D:\MicrosevicesApp\Project\BookingManagementService)
2022-11-03 08:38:54.018  INFO 22044 --- [restartedMain] .p.B.BookingManagementServiceApplication : No active profile set, falling back to 1 default profile: "default"
2022-11-03 08:38:54.111  INFO 22044 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-11-03 08:38:54.112  INFO 22044 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-11-03 08:38:56.073  INFO 22044 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2022-11-03 08:38:56.399  INFO 22044 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 314 ms. Found 1 MongoDB repository interfaces.
2022-11-03 08:38:56.844  INFO 22044 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=24b5d1bb-2a91-36ce-86af-9320ca0da21d
2022-11-03 08:38:58.073  INFO 22044 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8075 (http)
2022-11-03 08:38:58.091  INFO 22044 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-11-03 08:38:58.092  INFO 22044 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-11-03 08:38:58.352  INFO 22044 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-11-03 08:38:58.352  INFO 22044 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4238 ms
2022-11-03 08:38:58.833  INFO 22044 --- [restartedMain] org.mongodb.driver.client                : MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/15.0.1+9-18"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Saathvik', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@7cd46775]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.aloxi4w.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-qmiuy4-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2022-11-03 08:38:58.896  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-srv-cluster0.aloxi4w.mongodb.net] org.mongodb.driver.cluster               : Adding discovered server ac-g1o6n6r-shard-00-01.aloxi4w.mongodb.net:27017 to client view of cluster
2022-11-03 08:38:58.929  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-srv-cluster0.aloxi4w.mongodb.net] org.mongodb.driver.cluster               : Adding discovered server ac-g1o6n6r-shard-00-02.aloxi4w.mongodb.net:27017 to client view of cluster
2022-11-03 08:38:58.931  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-srv-cluster0.aloxi4w.mongodb.net] org.mongodb.driver.cluster               : Adding discovered server ac-g1o6n6r-shard-00-00.aloxi4w.mongodb.net:27017 to client view of cluster
2022-11-03 08:38:58.964  WARN 22044 --- [restartedMain] o.s.data.convert.CustomConversions       : Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
2022-11-03 08:38:59.130  WARN 22044 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-11-03 08:38:59.253  WARN 22044 --- [restartedMain] o.s.data.convert.CustomConversions       : Registering converter from class java.time.LocalDateTime to class org.joda.time.LocalDateTime as reading converter although it doesn't convert from a store-supported type; You might want to check your annotation setup at the converter implementation
2022-11-03 08:39:00.378  INFO 22044 --- [restartedMain] pertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-11-03 08:39:00.515  INFO 22044 --- [cluster-rtt-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-ac-g1o6n6r-shard-00-01.aloxi4w.mongodb.net:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:4, serverValue:69501}] to ac-g1o6n6r-shard-00-01.aloxi4w.mongodb.net:27017
2022-11-03 08:39:00.515  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-ac-g1o6n6r-shard-00-02.aloxi4w.mongodb.net:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:3, serverValue:75875}] to ac-g1o6n6r-shard-00-02.aloxi4w.mongodb.net:27017
2022-11-03 08:39:00.515  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-ac-g1o6n6r-shard-00-00.aloxi4w.mongodb.net:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:1, serverValue:70210}] to ac-g1o6n6r-shard-00-00.aloxi4w.mongodb.net:27017
2022-11-03 08:39:00.515  INFO 22044 --- [cluster-ClusterId{value='636330ca172f022ede6b5c4d', description='null'}-ac-g1o6n6r-shard-00-01.aloxi4w.mongodb.net:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:6, serverValue:69501}] to ac-g1o6n6r-shard-00-01.aloxi4w.mongodb.net:27017
